day_of_week,trip_count,total_revenue,total_time_min,total_miles,avg_min_ptrip,avg_dist_ptrip,avg_rev_ptrip,avg_dist_pmin,avg_rev_pmin
Friday,1243810,19503178.23998551,20514212.699999925,3347161.7900000187,16.49304371246406,2.691055539029288,15.680190897311897,0.16316306352814752,0.9507154149759587
Monday,1272058,20249294.96997414,19442528.033333305,3821349.4299999755,15.284309389456538,3.004068548761122,15.918531206890048,0.19654591334256794,1.0414949606994355
Saturday,1207628,17756227.519950964,18881590.549999833,3228919.4299999992,15.635270588293608,2.6737699274942277,14.703391706677026,0.17100886821211297,0.940398928412899
Sunday,1040344,15815328.009969546,15372223.116666865,3076134.190000035,14.77609628802287,2.9568433037534074,15.202017803697187,0.20010991036584877,1.028825036557156
Thursday,1089812,17184299.859960854,17799130.849999987,2971200.2900000047,16.332294790294092,2.726342057162157,15.768132356737542,0.16692951554991275,0.9654572464677884
Tuesday,1408907,22016102.799962718,21891151.899999764,4090159.9000000167,15.53768410548018,2.903073020433582,15.626370512718525,0.18684078017840902,1.0057078266385313
Wednesday,1496973,23169184.44994346,23240119.23333316,4026709.2300000386,15.524741751075776,2.68990104029935,15.477356271585032,0.17326542904412273,0.996947744429471
