PU_zone_name,trip_count,total_revenue,total_time_min,total_miles,avg_min_ptrip,avg_dist_ptrip,avg_rev_ptrip,avg_dist_pmin,avg_rev_pmin
Coney Island,98,2240.53,1646.1333333333334,486.74,16.79727891156463,4.966734693877551,22.862551020408166,0.2956868621415843,1.3610865867487445
Corona,322,12392.829999999996,5767.383333333333,1855.81,17.911128364389235,5.7633850931677015,38.48704968944098,0.32177677340677313,2.148778619998092
Country Club,4,348.86,177.73333333333335,66.0,44.43333333333334,16.5,87.215,0.3713428357089272,1.9628282070517629
Crotona Park East,59,993.9899999999999,700.6666666666666,181.47,11.875706214689265,3.0757627118644066,16.847288135593217,0.25899619410085634,1.4186346336822073
Crown Heights North,1532,23752.810000000023,22133.000000000007,4421.399999999999,14.44712793733682,2.8860313315926884,15.50444516971281,0.19976505670266106,1.073185288935075
Crown Heights South,343,5484.759999999998,4896.733333333334,1035.26,14.276190476190477,3.0182507288629736,15.990553935860053,0.21141849668486473,1.1200854991763212
Cypress Hills,103,2756.4300000000003,2381.4666666666667,601.6099999999999,23.1210355987055,5.840873786407766,26.761456310679616,0.2526216337271149,1.1574505906724148
DUMBO/Vinegar Hill,3599,64809.010000000184,64097.116666666705,13542.709999999992,17.80970176900992,3.7629091414281723,18.007504862461847,0.21128423093394452,1.0111064798286582
Douglaston,45,1297.95,633.8333333333333,248.86,14.085185185185184,5.530222222222222,28.843333333333334,0.39262687352090464,2.0477780699447807
Downtown Brooklyn/MetroTech,10517,182036.6599999977,175439.96666666673,38757.83,16.68156001394568,3.6852553009413334,17.308800988874935,0.22091790563115696,1.0376008583372829
Dyker Heights,91,1971.8,3014.9666666666667,436.96000000000004,33.13150183150183,4.801758241758242,21.66813186813187,0.1449302922088691,0.6540039138077811
East Chelsea,202681,2783635.3499994194,3074792.6500000004,451232.0100000001,15.170601339050036,2.2263162802630743,13.734071521254679,0.14675201269262825,0.9053083140417352
East Concourse/Concourse Village,384,6061.369999999997,6456.866666666667,1129.79,16.814756944444444,2.942161458333333,15.784817708333327,0.17497496205589913,0.9387478962964488
East Elmhurst,902,32507.890000000036,16464.78333333333,6501.32,18.25364005912786,7.207671840354767,36.03978935698452,0.39486216540960667,1.9743891760899805
East Flatbush/Farragut,162,2906.100000000001,2964.6166666666663,591.5600000000001,18.300102880658436,3.651604938271605,17.938888888888894,0.19954013166401507,0.9802616414713542
East Flatbush/Remsen Village,128,2186.3,2285.016666666667,439.87,17.851692708333335,3.436484375,17.08046875,0.19250187817740205,0.9567982728061794
East Flushing,26,686.11,505.01666666666665,131.46,19.423717948717947,5.056153846153847,26.388846153846153,0.2603082406521237,1.3585888254513052
East Harlem North,32236,396866.86000000976,452840.1,73688.40000000005,14.04765169375853,2.285903958307484,12.311293584812315,0.16272498835681745,0.8763951337348653
East Harlem South,60866,757020.8400000592,784241.716666667,132975.7199999999,12.884725736316943,2.1847290769887935,12.437499424967292,0.1695596104797875,0.9652901954995367
East New York,362,8974.699999999995,10428.433333333334,1835.9599999999998,28.807826887661143,5.07171270718232,24.79198895027623,0.17605329020338623,0.8605990672935846
East New York/Pennsylvania Avenue,87,1457.41,1378.25,318.36,15.841954022988507,3.6593103448275865,16.75183908045977,0.23098857246508253,1.0574351532740796
East Tremont,117,1873.9099999999996,3115.283333333333,378.66999999999996,26.62635327635327,3.2364957264957264,16.016324786324784,0.12155234676353677,0.6015215309468909
East Village,240129,3240078.9499992197,3502161.4499999904,549193.9499999991,14.584500206139161,2.287078820134174,13.493076429749092,0.15681571447826903,0.925165500293891
East Williamsburg,3267,52677.42000000012,50699.88333333332,10352.64,15.518788899091925,3.168852157943067,16.124095500459173,0.20419455271593331,1.0390047577361317
Eastchester,38,710.5899999999999,534.65,151.71999999999997,14.069736842105263,3.9926315789473676,18.69973684210526,0.2837744318713176,1.3290750958571027
Elmhurst,2500,45311.73000000018,39127.09999999999,8016.989999999998,15.650839999999997,3.2067959999999993,18.12469200000007,0.20489609503387676,1.1580651262168724
Elmhurst/Maspeth,979,15154.999999999996,18630.866666666665,3003.22,19.03050732039496,3.067640449438202,15.480081716036768,0.16119593649248737,0.8134350522251603
Eltingville/Annadale/Prince's Bay,8,473.9,220.9333333333333,61.31,27.616666666666664,7.66375,59.2375,0.2775045262522632,2.144990947495474
Erasmus,170,2761.970000000001,3186.4500000000003,508.1700000000001,18.743823529411767,2.9892352941176474,16.246882352941185,0.15947841641952645,0.8667859216369317
Far Rockaway,19,1413.9499999999998,551.2166666666667,201.89000000000001,29.01140350877193,10.625789473684211,74.41842105263157,0.3662625102046987,2.5651437728660835
Financial District North,60947,1228430.300000032,1213884.2,259771.0999999998,19.917045957963477,4.2622458857696,20.15571398100041,0.21399990213234493,1.011983103495401
Financial District South,31893,668973.49000002,664018.5833333337,145787.1,20.820198267122368,4.571131596275045,20.975558586524315,0.21955274093107072,1.0074619999967667
Flatbush/Ditmas Park,690,13546.369999999988,12181.333333333338,2529.5699999999997,17.654106280193243,3.6660434782608693,19.632420289855055,0.2076595337127845,1.1120597088441317
Flatiron,158880,2008932.749999747,2125643.7166666673,307206.4299999998,13.378925709130584,1.9335752139979847,12.644340067974237,0.14452395177576902,0.9450938246368301
Flatlands,162,3668.08,3677.8166666666666,784.75,22.702572016460906,4.844135802469136,22.642469135802468,0.21337387671127345,0.997352595969529
Flushing,353,9654.719999999994,6531.683333333334,1931.32,18.5033522190746,5.471161473087818,27.35048158640225,0.29568487959969475,1.4781365702052291
Flushing Meadows-Corona Park,969,60080.7000000001,34068.38333333333,9535.869999999999,35.15829033367733,9.8409391124871,62.00278637770908,0.27990380132507997,1.7635324638729095
Fordham South,78,1108.5100000000002,853.7333333333333,191.59999999999997,10.945299145299145,2.456410256410256,14.21166666666667,0.224426050288927,1.2984265188193036
Forest Hills,1256,25072.49000000002,29385.81666666667,5112.3200000000015,23.3963508492569,4.070318471337581,19.962173566878995,0.17397236421879267,0.8532173968280622
Forest Park/Highland Park,20,422.72,286.4,80.72,14.319999999999999,4.036,21.136000000000003,0.2818435754189944,1.4759776536312852
Fort Greene,7462,113132.51999999932,115703.9,22219.420000000002,15.50574912891986,2.977676226212812,15.161152506030463,0.19203691491816613,0.9777762028764746
Fresh Meadows,51,1164.23,3042.0333333333338,286.66999999999996,59.647712418300664,5.620980392156862,22.828039215686275,0.09423631123919306,0.3827144125091769
Garment District,186274,2539215.379999465,2798160.6000000015,412972.7700000003,15.021745385829485,2.21701778025919,13.631614610731852,0.14758722926768394,0.9074587713083601
Glen Oaks,41,1449.8,806.1666666666667,248.43,19.66260162601626,6.059268292682927,35.360975609756096,0.30816208393632416,1.798387430225346
Glendale,80,1714.8100000000004,1231.0333333333333,357.0899999999999,15.387916666666666,4.463624999999999,21.435125000000006,0.2900733800871896,1.3929842138041215
Governor's Island/Ellis Island/Liberty Island,7,67.54,59.71666666666667,9.089999999999998,8.530952380952382,1.2985714285714283,9.64857142857143,0.15221881105219087,1.1310075355847056
Gowanus,1323,21131.53,17172.8,3963.55,12.980196523053666,2.995880574452003,15.972433862433862,0.23080394577471353,1.2305232693561912
Gramercy,205986,2668262.7499994687,2788908.166666663,418942.6700000001,13.53930930581041,2.0338405037235545,12.953612138686458,0.15021744889532362,0.9567409862722762
Gravesend,68,1484.0900000000001,1244.1999999999998,296.55,18.297058823529408,4.361029411764706,21.824852941176474,0.2383459250924289,1.192806622729465
Great Kills,7,478.09999999999997,32.28333333333333,6.800000000000001,4.6119047619047615,0.9714285714285715,68.3,0.21063500258131135,14.809499225606608
Green-Wood Cemetery,13,142.13,95.91666666666666,27.15,7.378205128205128,2.088461538461538,10.933076923076923,0.2830582102519548,1.4818071242397917
Greenpoint,3177,47751.73000000019,47293.616666666676,9236.289999999997,14.886250131150984,2.9072363865281705,15.03044696254334,0.1952967578076956,1.009686578562227
Greenwich Village North,141053,1806873.2999998324,1980012.583333332,279690.44,14.037365978272934,1.9828748059240144,12.809889190586746,0.1412569002612821,0.9125564732310836
Greenwich Village South,117442,1610488.609999905,1775812.599999999,270805.7399999995,15.120762589192955,2.3058679177806876,13.713055039933797,0.15249680061961476,0.9069023443126296
Grymes Hill/Clifton,7,460.0400000000001,97.2,9.65,13.885714285714286,1.3785714285714286,65.72000000000001,0.09927983539094651,4.732921810699589
